coo: 51.9284597_4.4784905;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2019-01-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.38;129.97;6.79;142.22;11.58;155.33;14.41;169.19;15.00;183.44;13.32;197.57;9.51;211.10;3.90;223.80;--;--;--;--;--;--;--;--;--;--;
2019-01-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.39;129.83;6.82;142.08;11.64;155.19;14.48;169.07;15.09;183.33;13.43;197.48;9.63;211.03;4.02;223.74;--;--;--;--;--;--;--;--;--;--;
2019-01-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.42;129.70;6.86;141.95;11.70;155.06;14.56;168.94;15.19;183.23;13.54;197.39;9.76;210.96;4.16;223.69;--;--;--;--;--;--;--;--;--;--;
2019-01-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.45;129.55;6.91;141.81;11.76;154.93;14.64;168.82;15.30;183.12;13.66;197.30;9.89;210.90;4.30;223.64;--;--;--;--;--;--;--;--;--;--;
2019-01-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.49;129.41;6.96;141.67;11.84;154.80;14.74;168.70;15.41;183.02;13.79;197.22;10.03;210.83;4.44;223.60;--;--;--;--;--;--;--;--;--;--;
2019-01-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.53;129.26;7.03;141.52;11.92;154.66;14.84;168.58;15.53;182.92;13.92;197.14;10.17;210.78;4.59;223.57;--;--;--;--;--;--;--;--;--;--;
2019-01-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.59;129.11;7.10;141.38;12.01;154.53;14.95;168.46;15.66;182.82;14.07;197.06;10.32;210.72;4.75;223.53;--;--;--;--;--;--;--;--;--;--;
2019-01-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.65;128.96;7.17;141.24;12.10;154.39;15.06;168.34;15.79;182.72;14.21;196.99;10.48;210.68;4.91;223.51;--;--;--;--;--;--;--;--;--;--;
2019-01-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.71;128.81;7.26;141.09;12.21;154.26;15.19;168.22;15.93;182.62;14.37;196.92;10.65;210.63;5.08;223.48;--;--;--;--;--;--;--;--;--;--;
2019-01-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.79;128.65;7.35;140.94;12.32;154.12;15.32;168.10;16.08;182.53;14.53;196.85;10.81;210.59;5.25;223.47;--;--;--;--;--;--;--;--;--;--;
