,Living Units,Library,Coworking Spaces,Start-up Offices,Fab-labs/Workshops,Community Centre/Co-cooking,Entrance Hall,Indoor Market,Gym,Restaurant,Cafe/Pub,Arcade,Cinema,Underground Parking
Living Units,,,,,,,,,,,,,,
Library,2,,,,,,,,,,,,,
Coworking Spaces,1,1,,,,,,,,,,,,
Start-up Offices,3,1,2,,,,,,,,,,,
Fab-labs/Workshops,3,2,3,1,,,,,,,,,,
Community Centre/Co-cooking,2,1,2,2,1,,,,,,,,,
Entrance Hall,1,1,2,2,2,1,,,,,,,,
Indoor Market,1,2,2,3,3,2,1,,,,,,,
Gym,1,3,2,4,4,3,2,2,,,,,,
Restaurant,3,4,4,4,4,3,4,4,2,,,,,
Cafe/Pub,2,3,3,4,3,2,3,3,1,1,,,,
Arcade,3,3,4,4,3,2,3,4,2,2,1,,,
Cinema,3,2,3,3,2,1,2,3,2,2,1,1,,
