coo: 51.922896_4.463173;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2019-01-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.37;129.96;6.79;142.20;11.59;155.31;14.41;169.17;15.01;183.43;13.33;197.55;9.52;211.09;3.91;223.78;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.39;129.82;6.82;142.07;11.64;155.18;14.48;169.05;15.10;183.32;13.44;197.46;9.64;211.02;4.03;223.73;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.41;129.68;6.86;141.93;11.70;155.05;14.56;168.93;15.20;183.21;13.55;197.37;9.77;210.95;4.17;223.68;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.45;129.54;6.91;141.79;11.76;154.92;14.65;168.81;15.30;183.11;13.67;197.29;9.90;210.88;4.31;223.63;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.48;129.40;6.96;141.65;11.84;154.78;14.74;168.69;15.42;183.00;13.80;197.21;10.04;210.82;4.45;223.59;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.53;129.25;7.03;141.51;11.92;154.65;14.84;168.57;15.54;182.90;13.93;197.13;10.18;210.76;4.60;223.55;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.58;129.10;7.10;141.37;12.01;154.51;14.95;168.45;15.66;182.80;14.07;197.05;10.33;210.71;4.76;223.52;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.64;128.95;7.17;141.22;12.10;154.38;15.07;168.33;15.80;182.70;14.22;196.98;10.49;210.66;4.92;223.49;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.71;128.79;7.26;141.07;12.21;154.24;15.19;168.21;15.94;182.61;14.38;196.91;10.65;210.62;5.09;223.47;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.78;128.64;7.35;140.93;12.32;154.11;15.32;168.09;16.09;182.51;14.54;196.84;10.82;210.58;5.26;223.45;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-11;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.86;128.48;7.45;140.78;12.44;153.97;15.46;167.97;16.24;182.42;14.71;196.78;11.00;210.54;5.44;223.44;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.95;128.32;7.55;140.63;12.56;153.83;15.61;167.86;16.40;182.33;14.88;196.72;11.18;210.51;5.63;223.44;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-13;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.05;128.16;7.67;140.47;12.70;153.70;15.76;167.74;16.57;182.24;15.06;196.66;11.37;210.48;5.82;223.43;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-14;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.15;127.99;7.79;140.32;12.84;153.56;15.92;167.63;16.75;182.16;15.25;196.61;11.56;210.46;6.01;223.44;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-15;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.26;127.83;7.91;140.17;12.98;153.42;16.08;167.51;16.93;182.07;15.44;196.56;11.76;210.44;6.21;223.44;-0.81;235.56;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-16;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.37;127.66;8.05;140.01;13.14;153.29;16.26;167.40;17.12;181.99;15.64;196.51;11.96;210.43;6.41;223.46;-0.61;235.60;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.50;127.49;8.19;139.86;13.30;153.15;16.44;167.29;17.32;181.92;15.85;196.47;12.17;210.42;6.62;223.48;-0.40;235.64;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-18;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.63;127.32;8.34;139.70;13.47;153.02;16.62;167.18;17.52;181.84;16.06;196.43;12.39;210.41;6.84;223.50;-0.19;235.68;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.76;127.15;8.49;139.55;13.64;152.88;16.82;167.08;17.73;181.77;16.27;196.39;12.61;210.41;7.06;223.53;0.02;235.74;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.91;126.98;8.65;139.39;13.82;152.74;17.02;166.97;17.94;181.70;16.50;196.36;12.83;210.42;7.28;223.56;0.24;235.79;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-21;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.06;126.81;8.82;139.23;14.01;152.61;17.23;166.87;18.16;181.63;16.73;196.34;13.06;210.43;7.51;223.60;0.46;235.86;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-22;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.21;126.63;9.00;139.08;14.21;152.48;17.44;166.76;18.39;181.57;16.96;196.31;13.30;210.44;7.74;223.65;0.69;235.93;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-23;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.38;126.46;9.18;138.92;14.41;152.34;17.66;166.66;18.62;181.51;17.20;196.30;13.54;210.46;7.97;223.70;0.92;236.00;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-24;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.55;126.28;9.37;138.76;14.62;152.21;17.88;166.56;18.86;181.45;17.44;196.28;13.78;210.49;8.21;223.76;1.15;236.08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-25;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.72;126.11;9.56;138.60;14.83;152.08;18.12;166.47;19.11;181.40;17.69;196.27;14.03;210.52;8.45;223.82;1.38;236.17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2019-01-26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.91;125.93;9.76;138.45;15.05;151.95;18.35;166.37;19.36;181.34;17.95;196.26;14.28;210.55;8.70;223.89;1.62;236.26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
