Func;WD;WN;WV;WGF;WSF;WHF;WGR;WSC;AreaMax;AreaMin;AreaAv
3;0.1;0.8;0.9;0;0;0;0;0;600;50;225
5;0.1;1;0.5;0;0;0;0;0;200;30;65
4;0.5;1;0.3;1;0;0;0.8;0;120;30;55
6;0.4;1;0.8;1;0;0;0.4;0.8;300;50;100
1;0.8;0.5;0.5;0.5;0;0;0.5;0.8;150;50;100
2;0.5;0.3;0.8;0.8;0;0;0.8;0;200;50;125
7;0.6;1;0.4;1;0;0;1;0;2460;620;1540
8;0.1;1;0.9;1;0;0;0;0.8;300;100;125
9;0.3;1;0;0;0;0.8;0;0;2600;500;900
10;1;0.3;0;0;0;1;0.5;0;1320;800;1060
11;1;0.4;0;0;0;0;0.5;0;8000;760;4380
12;1;0.1;0;0;0;0;0.7;0;1800;5000;3400
13;1;0.1;0;0;0;1;0.8;0;1800;1050;1425
