Function,Daylight,Noise,Transport,GroundFloor,Elevation1,Function,area m^2,R,G,B,,,,
Workspace,0.7,0.8,0.1,1,1,0,2000,0.5,0,1,127.5,0,255,
Parking,0.1,0.1,1,1,1,1,5000,0.333,0.333,0.333,84.915,84.915,84.915,
Shop,0.3,0.2,0.9,1,1,2,5100,1,0.5,0,255,127.5,0,
Libary,0.6,0.9,0.3,1,1,3,600,1,0.494879,0.513072,255,126.194145,130.83336,
Gym,0.3,0.3,0.7,1,1,4,440,0.025,0.025,0.025,6.375,6.375,6.375,
Comunity_center,0.6,0.2,0.2,1,1,6,40,0,0.5,0.5,0,127.5,127.5,
co-cooking,0.2,0.2,0.2,1,1,7,40,1,0,0.204,255,0,52.02,
cafe_pub,0.5,0.2,0.8,1,1,8,150,0.5,0.0569125,0.0705566,127.5,14.5126875,17.991933,
Arcade,0.1,0.1,0.7,1,1,9,150,0.3,0.075,0.1875,76.5,19.125,47.8125,
assisted_house,0.7,0.5,0.6,1,1,10,1740,0,0,0.5,0,0,127.5,
Student_house,0.7,0.7,0.3,1,1,11,1920,0,0,1,0,0,255,
Starter_house,0.7,0.5,0.3,1,1,12,4000,0.1204,0.171974,1,30.702,43.85337,255,
cinema,0.1,0.9,0.6,1,1,13,3800,1,0.733249,0,255,186.978495,0,
restaurant,0.6,0.2,0.8,1,1,14,760,1,0,0,255,0,0,
